time,term,selected_cui,searched_cui
2017-10-13T10:30:44.000Z,gbm,NULL,NULL
2017-10-13T10:30:48.000Z,Glioblastoma,C0017636,NULL
2017-10-13T10:30:49.000Z,Glioblastoma,C0017636,NULL
2017-10-13T10:30:59.000Z,"Glioblastoma multiforme of brain",C0349543,NULL
2017-10-13T10:31:07.000Z,"Adult Brain Glioblastoma",C1332187,NULL
2017-10-13T10:31:13.000Z,"gliosarcoma, adult brainstem",C1377914,NULL
2017-10-13T20:49:51.000Z,ad,NULL,NULL
2017-10-13T20:49:52.000Z,adeno,NULL,NULL
2017-10-13T20:49:53.000Z,adenoly,NULL,NULL
2017-10-13T20:49:56.000Z,adenolymphona,NULL,NULL
2017-10-13T20:49:56.000Z,Adenolymphoma,C0001429,NULL
2017-10-13T20:50:00.000Z,"Parotid Gland Warthin Tumor",C1883714,NULL
2017-10-13T20:50:33.000Z,"Parotid Gland Warthin Tumor",NULL,C1883714
2017-10-17T10:24:49.000Z,"breast cancer",NULL,NULL
2017-10-17T10:25:32.000Z,"Breast cancer recurrent",C0278493,NULL
2017-10-17T10:25:40.000Z,"Inflammatory carcinoma of breast recurrent",C0853968,NULL
2017-10-17T10:26:14.000Z,"Inflammatory carcinoma of breast recurrent",C0853968,NULL
2017-10-17T10:26:16.000Z,"Breast cancer recurrent",C0278493,NULL
2017-10-19T08:55:33.000Z,park,NULL,NULL
2017-10-19T08:55:36.000Z,"Parkinson disease, late-onset",C3160718,NULL
2017-10-19T08:56:03.000Z,"Parkinson disease, late-onset",NULL,C3160718
2017-10-19T08:58:02.000Z,"Parkinson disease, late-onset",NULL,C3160718
2017-10-19T08:58:13.000Z,"Parkinson disease, late-onset",NULL,C3160718
2017-10-19T08:59:09.000Z,"Parkinson disease, late-onset",NULL,C3160718
2017-10-19T08:59:35.000Z,Sickle,NULL,NULL
2017-10-19T08:59:42.000Z,"Sickle cell sc disease",C0853729,NULL
2017-10-19T08:59:47.000Z,"Sickle cell sc disease",NULL,NULL
2017-10-19T08:59:52.000Z,"Sickle cell",NULL,NULL
2017-10-19T08:59:58.000Z,"Anemia, sickle cell",C0002895,NULL
2017-10-19T09:00:14.000Z,"Sickle Cell Trait",C0037054,NULL
2017-10-19T09:00:19.000Z,"Anemia, sickle cell",C0002895,NULL
2017-10-19T09:00:46.000Z,"Anemia, sickle cell",NULL,C0002895
2017-10-19T09:02:15.000Z,"Anemia, sickle cell",NULL,C0002895
2017-10-19T09:06:28.000Z,"Anemia, sickle cell",NULL,C0002895
2017-10-19T09:09:27.000Z,"Anemia, sickle cell",NULL,C0002895
2017-10-19T09:39:32.000Z,fraum,NULL,NULL
2017-10-19T09:39:34.000Z,fraumeni,NULL,NULL
2017-10-19T09:40:11.000Z,li,NULL,NULL
2017-10-19T09:40:13.000Z,li-fra,NULL,NULL
2017-10-19T09:40:15.000Z,"Li-fraumeni syndrome 1",C1835398,NULL
2017-10-19T09:40:36.000Z,"Li-fraumeni syndrome 1",NULL,C1835398
2017-10-19T09:40:54.000Z,"Li-fraumeni syndrome 1",C1835398,NULL
2017-10-19T09:40:57.000Z,"Li-fraumeni syndrome 1",NULL,NULL
2017-10-19T09:41:00.000Z,"Li-fraumeni syndrome",NULL,NULL
2017-10-19T09:41:02.000Z,"Li-fraumeni syndrome 2",C1836482,NULL
2017-10-19T09:41:03.000Z,"Li-fraumeni syndrome 2",NULL,C1836482
2017-10-19T09:41:19.000Z,"Li-fraumeni syndrome 1",NULL,C1835398
2017-10-19T09:41:44.000Z,"Li-fraumeni syndrome 1",NULL,C1835398
2017-10-19T09:41:54.000Z,"Li-fraumeni syndrome 1",NULL,C1835398
2017-10-19T09:41:54.000Z,"Li-fraumeni syndrome 1",NULL,C1835398
2017-10-19T11:15:48.000Z,"Li–Fraumeni syndrome",NULL,NULL
2017-10-19T11:15:51.000Z,Li–Fraumeni,NULL,NULL
2017-10-19T11:15:57.000Z,"Li Fraumeni",NULL,NULL
2017-10-19T11:15:59.000Z,"Li-fraumeni syndrome",C0085390,NULL
2017-10-19T11:16:12.000Z,"Li-fraumeni syndrome",NULL,C0085390
2017-10-19T14:40:16.000Z,li-fra,NULL,NULL
2017-10-19T14:40:20.000Z,"Li-fraumeni syndrome",C0085390,NULL
2017-10-19T14:40:38.000Z,"Li-fraumeni syndrome",NULL,C0085390
2017-10-19T14:41:09.000Z,li-fra,NULL,NULL
2017-10-19T14:41:12.000Z,"Li-fraumeni syndrome 1",C1835398,NULL
2017-10-19T14:41:16.000Z,"Li-fraumeni syndrome 1",NULL,C1835398
2017-10-19T14:41:27.000Z,"Li-fraumeni syndrome 1",C1835398,NULL
2017-10-19T14:41:29.000Z,"Li-fraumeni syndrome 1",NULL,NULL
2017-10-19T14:41:32.000Z,"Li-fraumeni syndrome 2",NULL,NULL
2017-10-19T14:41:33.000Z,"Li-fraumeni syndrome 2",C1836482,NULL
2017-10-19T14:41:34.000Z,"Li-fraumeni syndrome 2",NULL,C1836482
2017-10-19T14:41:37.000Z,"Li-fraumeni syndrome 2",C1836482,NULL
2017-10-19T14:41:38.000Z,"Li-fraumeni syndrome 2",NULL,NULL
2017-10-19T14:41:41.000Z,"Li-fraumeni syndrome 3",NULL,NULL
2017-10-19T14:41:42.000Z,"Li-fraumeni syndrome 3",C1836481,NULL
2017-10-19T14:41:43.000Z,"Li-fraumeni syndrome 3",NULL,C1836481
2017-10-20T13:44:25.000Z,ovarian,NULL,NULL
2017-10-20T13:44:37.000Z,"recurrent ovarian",NULL,NULL
2017-10-20T13:44:44.000Z,"Ovarian epithelial cancer recurrent",C0278689,NULL
2017-10-20T13:45:57.000Z,"Ovarian epithelial cancer recurrent",NULL,C0278689
2017-10-20T13:48:44.000Z,ovarian,NULL,NULL
2017-10-20T13:48:46.000Z,"Ovarian carcinoma",C0029925,NULL
2017-10-20T13:49:17.000Z,"Ovarian carcinoma",NULL,NULL
2017-10-20T13:49:35.000Z,"Ovarian epithelial cancer recurrent",C0278689,NULL
2017-10-20T13:52:16.000Z,"Ovarian epithelial cancer recurrent",NULL,C0278689
2017-10-13T11:06:15.000Z,ost,NULL,NULL
2017-10-13T11:06:19.000Z,ostheo,NULL,NULL
2017-10-13T11:06:24.000Z,osteoart,NULL,NULL
2017-10-13T11:06:36.000Z,osteoarthritis,NULL,NULL
2017-10-13T11:06:40.000Z,"Osteoarthritis, knee",C0409959,NULL
2017-10-13T11:07:04.000Z,"Unilateral post-traumatic osteoarthritis of knee",C2893938,NULL
2017-10-13T11:07:13.000Z,"Unilateral post-traumatic osteoarthritis, right knee",C2893940,NULL
2017-10-13T11:08:14.000Z,"Unilateral post-traumatic osteoarthritis, right knee",NULL,C2893940
2017-10-17T14:39:31.000Z,autism,NULL,NULL
2017-10-17T14:39:35.000Z,"autism spectrum",NULL,NULL
2017-10-17T14:39:36.000Z,"Autism spectrum disorders",C1510586,NULL
2017-10-17T14:39:38.000Z,"Autistic Disorder",C0004352,NULL
2017-10-17T14:39:45.000Z,"Active infantile autism",C0338985,NULL
2017-10-17T14:40:06.000Z,"Active infantile autism",NULL,C0338985
2017-10-17T14:43:15.000Z,"Active infantile autism",C0338985,NULL
2017-10-17T14:43:16.000Z,"Autistic Disorder",C0004352,NULL
2017-10-17T14:43:27.000Z,"Autism spectrum disorders",C1510586,NULL
