pref_name,umls_cui_linked,average_depth,trials_count,pubmed_count,search_frequency,select_frequency
"Linitis plastica",C0006936,6.6977,1,266,1,1
"Infectious bovine rhinotracheitis",C0006645,3.8148,1,735,2,NULL
"Myasthenia gravis associated with thymoma",C0051581,8.5,1,NULL,1,NULL
"Congenital atransferrinemia",C0087380,8.4737,1,NULL,5,NULL
"Inactive tuberculosis of lung",C0115036,9.9438,1,NULL,1,4
"Bilateral sciatica",C0115775,10.497,1,NULL,1,NULL
"Brittle asthma",C0113610,6.6667,1,NULL,1,NULL
"Acute post-traumatic stress disorder",C0114973,5,1,NULL,1,NULL
"Narcolepsy and hypersomnia",C0122077,3,1,NULL,1,NULL
"Central nervous system melanoma",C0153796,4.76,1,NULL,2,NULL
"Trance state",C0124074,4,1,NULL,1,NULL
"Prostate cancer stage c",C0156304,10.8,1,NULL,2,NULL
"Type i usher syndrome",C0170641,11.7544,1,NULL,6,NULL
"Infantile onset spinocerebellar ataxia",C0182885,9.6849,1,NULL,1,NULL
"Visceral abdominal pain",C0205574,7.0769,1,NULL,1,1
"Corn of toe",C0005469,8.9091,1,NULL,1,NULL
"Acute urinary tract infection",C0024388,7.56,1,NULL,1,NULL
"Malignant neoplasm of transverse colon",C0003878,13.1198,1,NULL,2,NULL
"Hepatic vein thrombosis",C0006370,7.8,1,NULL,4,NULL
"Mild recurrent major depression",C0011926,7.4444,1,NULL,1,NULL
Trimethylaminuria,C0045005,4.24,1,NULL,7,NULL
"Ulcer of esophagus",C0010331,6.275,1,NULL,3,NULL
"Type 1 diabetes mellitus without complication",C0084123,6.6667,1,NULL,1,1
"Helicobacter-associated disease",C0086921,6,1,NULL,1,NULL
"Dry cough",C0121176,5,1,NULL,2,NULL
"Alzheimer disease 9",C0178394,NULL,1,NULL,2,NULL
"Facioscapulohumeral muscular dystrophy 1b",C0177119,NULL,1,NULL,1,NULL
"Severe hereditary factor viii deficiency disease with inhibitor",C0205210,8.4,1,NULL,1,1
"Monomelic amyotrophy",C0190941,4,1,NULL,1,NULL
"Alzheimer disease 4",C0182084,9.2,1,NULL,14,3
"Opioid use, unspecified with withdrawal",C0257389,5,1,NULL,1,NULL
"Adult-onset growth hormone deficiency",C0174681,11.6,1,NULL,1,2
"Insomnia due to other mental disorder",C0257845,5,1,NULL,1,NULL
"Anal hsil",C0321570,NULL,1,NULL,1,NULL
"Braf np_004324.2:p.t599_v600inst",C0335944,5,1,NULL,1,NULL
"Lifelong obesity",C0030060,5,1,NULL,1,NULL
"Crohn's disease of esophagus",C0043770,9.4286,1,NULL,2,NULL
"Newcastle disease",C0007404,4.7,1,2125,1,NULL
"Lingual-facial-buccal dyskinesia",C0010400,6.9333,1,NULL,1,NULL
"Deficit in attention motor control and perception",C0075632,7,1,NULL,1,NULL
"Cystic fibrosis with meconium ileus",C0088619,11.3778,1,NULL,1,1
"Brain oligodendroglioma",C0047522,10.235,1,NULL,1,2
"Neurogenic pain",C0063963,6,1,NULL,1,NULL
"Wolcott-rallison syndrome",C0069062,10.8868,1,NULL,4,NULL
"Psoriasis of face",C0143864,7.6087,1,NULL,3,2
"Neuropathy ataxia and retinis pigmentosa",C0153170,4.1818,1,NULL,1,NULL
"Chordoma of clivus",C0153963,10,1,NULL,3,1
"Colon carcinoma metastatic in the liver",C0153973,12.0168,1,NULL,1,NULL
"Chlamydia trachomatis infection of anus and rectum",C0127180,7.4,1,NULL,1,NULL
"Genital cancer",C0117100,5,1,NULL,1,NULL
"Adult acne",C0187843,NULL,1,NULL,3,1
"Hereditary elliptocytosis",C0005779,5.5185,1,630,2,NULL
"Acute graft-versus-host reaction following bone marrow transplant",C0352352,6.3333,1,NULL,3,4
"Carcinoma in situ of stomach",C0011708,8.5396,1,NULL,2,NULL
"Altered behavior in alzheimer's disease",C0320828,10.1818,1,NULL,3,2
"Hereditary motor and sensory neuropathy type i",C0001300,8.6341,1,NULL,4,NULL
"Gingival neoplasm",C0006168,8.3116,1,1746,1,NULL
"Type iii hyperammonemia",C0030488,4.5,1,NULL,3,NULL
